"EMPLOYEEIDENTIFIER","EMPLOYEETITLE","EMPLOYEEDATEOFBIRTH","EMPLOYEEGENDER","EMPLOYEEMARITALSTATUS","TELEPHONEINTCODE","TELEPHONEAREACODE","TELEPHONENUMBER","CELLINTCODE","CELLAREACODE","CELLNUMBER","EMPLOYEEEMAIL","EMPLOYEEID","EMPLOYEECLASSIFICATION","EMPLOYEEJOBTITLE","EMPLOYEEDATEOFHIRE","EMPLOYEEENDDATE","EMPLOYMENTSTATUS","EMPLOYEEORGUNITNAME","EMPLOYEEHOURSWORKEDPERWEEK","EMPLOYEEDAYSWORKEDPERWEEK","MANAGERIDENTIFIER","QUALIFIERDESCRIPTION","EMPLOYEEWORKSITEID","C","I","LASTUPDATEDATE","REFERENCENO","EMPLOYEEFIRSTNAME","EMPLOYEELASTNAME","EMPLOYEENATIONALID","CUSTOMERNO","UNVERIFIED","STAFF","GROUPCLIENT","SECUREDCLIENT","EMPLOYEEADJUSTEDDATEOFHIRE","EMPLOYMENTSTRENGTH","EMPLOYMENTCATEGORY","EMPLOYMENTTYPE","EMPLOYEECBACODE","KEYEMPLOYEE","EMPLOYEEWORKATHOME","EMPLOYEEHOURSWORKEDPERYEAR","EMPLOYEE50EMPLOYEESWITHIN75MILES","EMPLOYMENTWORKSTATE"
"8736000","Unknown","1983-12-23 00:00:00","Unknown","Unknown","1","","6504900487","","","","","","Please Select","DEFAULT","2000-01-01 00:00:00","","Active","","40","0","","","","11536","3815","2020-12-03 12:37:09","9e23b0fd-a042-4df8-b87b-510ea4e467d9","Jayde","Von","969338869","2085","0","0","0","0","","Unknown","Unknown","Please Select","","0","0","0","0","MA"
"8736000","Unknown","1991-12-28 00:00:00","Unknown","Unknown","","","","","","","","","Please Select","DEFAULT","2020-01-01 00:00:00","","Active","","0","0","","","","11536","11003","2020-12-03 12:35:25","1246c347-170c-41c0-85f7-2c745c098a65","Cordia","Heathcote","530608480","5122783","0","0","0","0","","Unknown","Unknown","Please Select","","0","0","0","0","MA"
"8736000","Unknown","1993-02-17 00:00:00","Unknown","Unknown","","","","","","","rob+pfml-cypress-gh3@lastcallmedia.com","","Please Select","DEFAULT","2020-01-01 00:00:00","","Active","","42","0","","","","11536","11012","2020-12-07 14:31:20","12e04b21-ff66-49f1-9d91-9d966e27e7e9","Hildegard","Lang","337345025","5122792","0","0","0","0","","Unknown","Unknown","Please Select","","0","0","0","0","MA"
"8736000","Unknown","2002-10-16 00:00:00","Unknown","Unknown","","","","","","","rob+pfml-cypress-gh3@lastcallmedia.com","","Please Select","DEFAULT","2020-01-01 00:00:00","","Active","","40","0","","","","11536","11466","2020-12-07 16:16:01","2a8a96bf-9fac-425c-9b37-e2271c1aa630","Eli","Hilll","009561153","5123246","0","0","0","0","","Unknown","Unknown","Please Select","","0","0","0","0","MA"
"8736000","Unknown","1994-12-24 00:00:00","Unknown","Unknown","","","","","","","rob+pfml-cypress-gh3@lastcallmedia.com","","Please Select","DEFAULT","2020-01-01 00:00:00","","Active","","40","0","","","","11536","12308","2020-12-07 14:32:06","56e27d06-d0ac-4f6d-892d-676efe23805f","Rose","Volkman","751164963","5124088","0","0","0","0","","Unknown","Unknown","Please Select","","0","0","0","0","MA"
"8736000","Unknown","1963-09-09 00:00:00","Unknown","Unknown","","","","","","","rob+pfml-cypress-gh3@lastcallmedia.com","","Please Select","DEFAULT","2020-01-01 00:00:00","","Active","","0","0","","","","11536","11512","2020-12-07 06:27:10","2d3a1e42-7825-4f4a-8e0d-133243bbf767","Ashlynn","Schuppe","473903318","5123292","0","0","0","0","","Unknown","Unknown","Please Select","","0","0","0","0","MA"
"8736000","Unknown","1966-04-01 00:00:00","Unknown","Unknown","","","","","","","rob+pfml-cypress-gh3@lastcallmedia.com","","Please Select","DEFAULT","2020-01-01 00:00:00","","Active","","40","0","","","","11536","11919","2020-12-07 12:48:56","433ec8ba-d6da-4e0c-bae1-f0cf72dfd317","Garret","Hartmann","493161603","5123699","0","0","0","0","","Unknown","Unknown","Please Select","","0","0","0","0","MA"
"8736000","Unknown","1992-03-05 00:00:00","Unknown","Unknown","","","","","","","","","Please Select","DEFAULT","2020-01-01 00:00:00","","Active","","0","0","","","","11536","11118","2020-12-04 11:54:28","19077348-6ec4-4969-a194-56e9d73de736","Britney","Considine","758108516","5122898","0","0","0","0","","Unknown","Unknown","Please Select","","0","0","0","0","MA"
"8736000","Unknown","1981-07-29 00:00:00","Unknown","Unknown","","","","","","","","","Please Select","DEFAULT","2020-01-01 00:00:00","","Active","","0","0","","","","11536","11134","2020-12-03 14:32:24","19e4510a-b264-487c-b4d8-e2aa9e769d3e","Sabryna","Hessel","516238061","5122914","0","0","0","0","","Unknown","Unknown","Please Select","","0","0","0","0","MA"
"8736000","Unknown","1987-05-30 00:00:00","Unknown","Unknown","","","","","","","rob+pfml-cypress-gh3@lastcallmedia.com","","Please Select","DEFAULT","2020-01-01 00:00:00","","Active","","42","0","","","","11536","11605","2020-12-07 13:22:06","31ca5f07-e508-44da-84eb-a8302758e885","Rodolfo","Bruen","380347565","5123385","0","0","0","0","","Unknown","Unknown","Please Select","","0","0","0","0","MA"
